File Name,Image,Task Type,VME or not?,Possible for VME Error to exist?,"If so, does VME error exist?",No Pen,No Man,Shape,Number of Protrusions,Incorrect/Missing Rune,Missing Carrot,Missing Castle,Use Mickey Mouse,Missing Word,Missing Moon,No Tie,No Stripes,Bart Hair,Wrong Colors,Tail,Wrong Object,Wrong Shape,No Bunny Ears,Wrong Colors,Four Spikes,Wrong Number ,Wrong Hair Color,No Mustache,Not Bowtie,Wrong Shape,Wrong Face,No Clothes,Wrong Bars,Wrong Pattern,Wrong Circle,Missing Mermaid,Trident
Bic_LT_87,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_158,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_296,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_324,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_336,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_425,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_494,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_511,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_520,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_533,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_536,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_613,Bic,LT,Not,N/A,N/A,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_671,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_688,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_718,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_809,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1003,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1190,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1197,Bic,LT,Not,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1233,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1246,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1271,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1316,Bic,LT,Not,N/A,N/A,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1494,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_LT_1552,Bic,LT,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_70,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bic_ST_108,Bic,ST,Not,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
